Brand Code,Carb Volume,Fill Ounces,PC Volume,Carb Pressure,Carb Temp,PSC,PSC Fill,PSC CO2,Mnf Flow,Carb Pressure1,Fill Pressure,Hyd Pressure1,Hyd Pressure2,Hyd Pressure3,Hyd Pressure4,Filler Level,Filler Speed,Temperature,Usage cont,Carb Flow,Density,MFR,Balling,Pressure Vacuum,PH,Oxygen Filler,Bowl Setpoint,Pressure Setpoint,Air Pressurer,Alch Rel,Carb Rel,Balling Lvl
B,5.320,23.920,0.259,66.2,139.4,0.078,0.180,0.040,-100,119.6,46.6,0,0,0,94,119.6,4020,65,19.04,3056,0.9,727,1.448,-4.4,8.34,0.03,120,46,146.2,6.52,5.34,1.44
B,5.353,24.067,0.251,61.6,132.8,0.11,0.180,0.020,-100,119.2,46.6,0,0,0,86,119.6,4012,65.4,18.44,3110,0.92,735,1.498,-4.4,8.34,0.058,120,46,146.8,6.52,5.34,1.44
B,5.220,23.893,0.267,63.4,141,0.114,0.380,0.000,-100,117.4,45.4,0,0,0,98,121,4012,65,17.12,2870,0.92,729.6,1.498,-4.4,8.34,0.048,120,46,146,6.52,5.34,1.46
B,5.267,23.893,0.229,71.6,147.8,0.096,0.220,0.040,-100,113.6,46,0,0,0,94,120,4012,65,23.44,3040,0.92,731,1.498,-4.4,8.38,0.046,120,46,146.8,6.52,5.34,1.44
B,5.267,23.873,0.334,72.6,148,0.16,0.360,0.080,-100,120.2,46.6,0,0,0,92,120,4010,65,21.16,3056,0.9,732.4,1.448,-4.4,8.4,0.066,120,46,146.6,6.52,5.34,1.44
B,5.287,23.867,0.257,68,143.2,0.034,0.160,0.020,-100,129,47.4,0,0,0,96,119.8,4010,65.2,19.88,3290,0.9,731,1.448,-4.4,8.42,0.046,120,46,146,6.52,5.34,1.42
C,5.227,23.693,0.317,63.8,138.2,0.124,0.200,0.060,-100,123.4,48.8,0,0,0,92,120.2,1624,68.8,17.02,3200,0.46,295.8,0.346,-4.2,8.58,0.164,120,46,146.6,6.52,5.34,1.46
B,5.353,23.993,0.279,64.8,137,0.146,0.060,0.020,-100,115.6,46.4,0,0,0,94,120.4,4012,65.2,21.82,3082,0.88,726.4,1.398,-4,8.5,0.046,120,46,146.8,6.52,5.36,1.46
B,5.367,24.093,0.261,70.6,143.8,0.22,0.480,0.080,-100,121.4,47,0,0,0,98,116.4,3060,65.4,20.32,3324,0.84,535.8,1.298,-4,8.44,0.064,120,46,146.8,6.52,5.28,1.44
C,5.213,23.987,0.235,62.6,140.8,0.246,0.100,0.200,-100,119.6,45.4,0,0,0,102,120.2,4012,67.8,16.44,2970,0.86,731.8,1.348,-4,8.3,0.046,120,46,146.2,6.62,5.34,1.38
C,5.220,24.260,0.112,66.8,143.4,0.042,0.080,0.060,-100,116.6,46.4,0,0,0,94,121,4010,65.4,16.56,3090,0.94,726.4,1.548,-4.2,8.42,0.022,120,46,146.2,6.52,5.34,1.52
B,5.333,24.093,0.305,66,139.4,0.06,0.060,0.080,-100,130.2,44.2,0,0,0,130,100.2,1008,69.8,21.98,30,0.74,0,1.048,-4,8.48,0,100,50,147,6.5,5.4,1.48
B,5.340,23.987,0.212,68.2,142.2,0.038,0.160,0.040,-100,113.6,51.4,0,0,0,100,96.8,2936,66.6,19.36,3418,0.82,519,1.248,-4.2,8.52,0.254,100,50,146.8,6.5,5.38,1.48
B,5.413,23.987,0.293,70,142.8,0.124,0.020,0.040,-100,118.2,50.2,0,0,0,96,100.4,4016,66,24,3206,0.92,732.6,1.496,-4.2,8.44,0.084,100,50,146.4,6.52,5.38,1.48
B,5.373,24.020,0.281,68,141,0.102,0.260,0.020,-100,119.2,50,0,0,0,90,100.2,4010,66.2,21.58,3220,0.9,734.4,1.448,-4.2,8.44,0.064,100,50,147.2,6.5,5.28,1.5
B,5.313,23.987,0.294,68.2,142.2,0.052,0.180,0.100,-100,118,50,0,0,0,94,99.8,4016,66,20.72,3206,0.92,732.8,1.496,-4.2,8.4,0.206,100,50,146.6,6.5,0,1.5
B,5.360,24.027,0.278,67,139.8,0.08,0.340,0.040,-100,115.2,50.2,0,0,0,102,100.2,4014,68.2,21.6,3168,0.86,740.4,1.348,-4.2,8.42,0.096,100,50,146.8,6.48,5.38,1.48
B,5.447,24.020,0.090,70.8,142.6,0.012,0.340,0.020,-100,124.4,50,0,0,0,96,100.8,4012,65.6,23.58,3138,0.88,729.4,1.398,-4.2,8.42,0.09,100,50,147,6.5,5.38,1.48
B,5.380,24.073,0.218,66.6,138.8,0.04,0.180,0.040,-100,116.4,50,0,0,0,92,100,4010,65.8,21.4,3212,0.9,731,1.448,-4.2,8.4,0.064,100,50,147.4,6.52,5.4,1.46
B,5.393,24.087,0.212,65.8,137.4,0.102,0.100,0.020,-100,118.6,50,0,0,0,102,100.6,4016,66.4,18.32,3164,0.9,734.2,1.448,-4.2,8.44,0.084,100,50,147,6.5,5.4,1.46
B,5.407,24.113,0.222,67.4,138.6,0.128,0.220,0.060,-100,116.8,49.8,0,0,0,100,100.4,4014,65.8,21.16,3194,0.9,731.6,1.448,-4.2,8.36,0.096,100,50,146.6,6.5,5.38,1.46
B,5.367,24.093,0.211,70.8,144.2,0.068,0.040,0.080,-100,115.2,50.2,0,0,0,96,100.2,4010,65.8,22.9,3182,0.9,731,1.398,-4.2,8.36,0.084,100,50,146.2,6.5,5.38,1.46
B,5.300,24.073,0.186,69.6,143.8,0.052,0.420,0.240,-100,121.2,50.4,0,0,0,94,110,4014,65.8,19.18,3214,0.9,730.6,1.448,-4.2,8.4,0.082,110,50,146.4,6.5,5.38,1.46
B,5.360,24.080,0.155,68.6,141.6,0.088,0.040,0.060,-100,119.6,50,0,0,0,100,109.4,4010,65.8,15.88,3198,0.92,740,1.496,-4.2,8.38,0.062,110,50,147,6.52,5.38,1.5
B,5.367,24.047,0.133,68.2,141,0.112,0.340,0.160,-100,118,50.2,0,0,0,94,110,4010,65.8,18.54,3220,0.92,733.8,1.496,-4.2,8.44,0.064,110,50,145.8,6.52,5.38,1.5
B,5.373,24.007,0.316,69.4,142.8,0,0.280,0.020,-100,120.4,49.8,0,0,0,96,110.2,4012,67.4,19.98,3208,0.9,728.4,1.398,-4,8.36,0.064,110,50,146,6.5,5.36,1.5
B,5.347,23.987,0.228,68.8,142.4,0.164,0.260,0.060,-100,121.4,43,0,0,0,120,120,1006,67,13.66,1464,0.86,0,1.346,-4,8.4,0.08,120,50,148.2,6.5,5.4,1.5
B,5.373,24.013,0.200,65.2,137.4,0.112,0.340,0.020,-100,116,50.2,0,0,0,96,120.8,4014,66.4,21.98,3222,0.88,702.4,1.398,-4,8.38,0.06,120,50,147,6.5,5.4,1.48
B,5.327,24.060,0.239,75.8,151.4,0.08,0.080,0.020,-100,117,45.8,0,0,0,94,119.6,4012,66.6,18.12,2986,0.86,732.6,1.346,-3.8,8.36,0.082,120,46,145.8,6.5,5.42,1.44
C,5.273,23.860,0.113,65.6,140.2,0.05,0.100,0.040,-100,119.4,45.8,0,0,0,92,119.2,4014,67.2,13.78,2976,0.92,722,1.496,-3.8,8.28,0.062,120,46,146.2,6.64,5.38,1.6
C,5.340,23.900,0.295,62.2,133.2,0.106,0.200,0.080,-100,118.6,41.6,0,0,0,120,117,1004,67.2,18.4,3144,0.86,0,1.346,-3.8,8.26,0.046,120,46,146.2,6.64,5.32,1.46
C,5.267,23.960,0.311,69.2,144.6,0.15,0.180,0.020,-100,116.4,45.8,0,0,0,96,120.6,4010,67.2,16.32,2948,0.9,733.8,1.448,-3.8,8.28,0.082,120,46,145.8,6.64,5.32,1.46
D,5.460,24.173,0.179,66.8,138.4,0.092,0.320,0.120,-100,117.4,45.8,0,0,0,84,120.2,4012,66.2,16.98,3048,1.68,732.2,3.39,-4,8.4,0.152,120,46,146.2,7.7,5.6,3.36
D,5.513,23.973,0.227,72.6,143.4,0.134,0.220,0.020,-100,131.8,44.6,0,0,0,78,119.6,4014,66.2,20.48,2862,1.7,736,3.44,-4,8.46,0.116,120,46,145.8,7.7,5.6,3.36
D,5.513,23.980,0.232,72,141.4,0.092,0.340,0.080,-100,119.4,45.6,0,0,0,74,118.8,4012,66.2,20.36,2922,1.7,734.4,3.44,-4,8.4,0.152,120,46,145.6,7.7,5.6,3.36
D,5.493,24.133,0.203,68,138.8,0.07,0.340,0.100,-100,115.4,46.2,0,0,0,72,116.8,4012,66.4,23.86,2984,1.68,734.4,3.39,-4,8.42,0.116,120,46,147,7.7,5.58,3.36
D,5.513,24.100,0.258,73.4,145.2,0.028,0.040,0.060,-100,120.4,45.8,0,0,0,80,121.8,4012,67,23.3,2892,1.68,732.4,3.39,-4,8.56,0.126,120,46,146.8,7.72,5.6,3.3
D,5.580,24.047,0.231,71.6,140.6,0.042,0.140,0.000,-100,124.4,40.4,0,0,0,108,120.4,1008,71.2,23.16,28,1.56,0,3.1,-4,8.5,0.15,120,46,147,7.7,5.58,3.3
D,5.533,23.980,0.219,72,142.8,0.054,0.160,0.060,-100,117.4,46.8,0,0,0,78,121.2,4012,67,22.9,3078,1.66,733.6,3.342,-4,8.5,0.122,120,46,146,7.72,5.6,3.3
A,5.407,0.000,0.167,66.6,136.8,0.136,0.160,0.240,-100,120.4,46.8,0,0,0,138,136.8,1006,66.4,19.78,30,1.58,0,3.142,-4,8.6,0.068,120,46,146,7.72,5.6,3.3
A,5.433,24.067,0.239,75.2,148.4,0.088,0.040,0.020,-100,113.6,45.6,0,0,0,110,119.8,4010,67.4,20.12,2940,1.5,732,2.944,-4,8.4,0.046,120,46,146.6,7.18,5.54,3.06
A,5.440,24.200,0.251,69.8,141.8,0.12,0.220,0.040,-100,117.6,46.6,0,0,0,106,119.8,4010,66.6,23.14,3048,1.5,748,2.944,-4.2,8.5,0.048,120,46,146,7.18,5.44,3
A,5.420,24.020,0.236,69.6,141.8,0.09,0.200,0.040,-100,118.2,46.4,0,0,0,118,120.2,4012,68.4,20.64,3018,1.5,716,2.944,-4.2,8.5,0.03,120,46,146,7.16,5.46,3.04
A,5.440,24.000,0.215,70,141.8,0.082,0.120,0.040,-100,115.4,46.4,0,0,0,106,119.8,4010,67.6,16.4,3044,1.5,729.2,2.944,-4.2,8.46,0.064,120,46,145.6,7.18,5.46,3
A,5.313,24.060,0.241,71,146.2,0.09,0.260,0.040,-100,115.4,45.8,0,0,0,96,118.6,4012,66,22.74,3084,1.44,716.8,2.794,-4,8.46,0.17,120,46,146,7.2,5.4,2.96
D,5.560,24.027,0.257,73,142.6,0.13,0.140,0.000,-100,118.2,46,0,0,0,80,119.8,4010,66,20.16,3126,1.68,734.2,3.39,-4,8.56,0.046,120,46,145.4,7.72,5.64,3.34
D,5.593,24.127,0.217,74,143.4,0.104,0.580,0.080,-100,113.4,45.8,0,0,0,80,121.8,4012,66.2,16.84,3020,1.66,729,3.34,-3.8,8.6,0.038,120,46,146.4,7.72,5.64,3.34
D,5.600,24.007,0.223,68.6,135.6,0.178,0.580,0.100,-100,118,45.8,0,0,0,74,114.6,4018,66.4,18.44,2934,1.7,759.6,3.44,-4.2,8.56,0.08,120,46,146.2,7.7,5.64,3.34
D,5.580,23.987,0.221,73.2,140.6,0.208,0.600,0.120,-100,114.6,46.2,0,0,0,76,120.4,4010,66.2,17.16,3012,1.72,732.8,3.49,-4.2,8.54,0.028,120,46,146.4,7.7,5.66,3.36
D,5.607,24.067,0.219,72,140.4,0.064,0.280,0.100,-100,120.4,46.6,0,0,0,74,115.2,4012,66.6,22.26,3092,1.7,760.4,3.44,-4.2,8.66,0.046,120,46,146.4,7.72,5.68,3.3
D,5.560,23.940,0.245,67,133.8,0.128,0.460,0.120,-100,121.8,45.6,0,0,0,80,119.2,4010,67.4,22.3,2926,1.56,735,3.094,-4.2,8.6,0.028,120,46,147,7.78,5.62,3.06
D,5.513,24.013,0.295,70.6,141,0.076,0.080,0.040,-100,120,45.8,0,0,0,76,120,4010,67.2,18.56,3030,1.58,736.2,3.142,-4.2,8.66,0.028,120,46,146,7.78,5.6,3.06
D,5.507,23.987,0.267,67,136.4,0.114,0.200,0.020,-100,122.6,46,0,0,0,82,119.6,4016,65.4,23,3140,1.7,736.4,3.44,-4.2,8.58,0.096,120,46,146.2,7.68,5.54,3.36
D,5.493,23.967,0.259,68.6,140.2,0.056,0.080,0.100,-100,120,45.8,0,0,0,72,121.4,4010,65,17.1,3066,1.72,730.8,3.488,-4.2,8.6,0.082,120,46,145.6,7.68,5.54,3.36
D,5.493,23.940,0.105,75.8,148.2,0.016,0.060,0.040,-100,118.8,45.2,0,0,0,78,120,4016,64.8,17.52,2824,1.66,731.8,3.34,-4.2,8.64,0.318,120,46,146,7.72,5.5,3.3
D,5.413,23.953,0.234,74.4,147.2,0.056,0.120,0.040,-100,117.8,46.6,0,0,0,74,119,4010,64,17.2,3090,1.68,739,3.39,-4.2,8.6,0.07,120,46,146.6,7.72,5.5,3.28
D,5.453,24.100,0.290,69.4,140.6,0.066,0.200,0.020,-100,118,45.4,0,0,0,76,118.8,4016,64,20.36,2972,1.7,735.4,3.438,-4.2,8.6,0.14,120,46,146.6,7.68,5.52,3.4
D,5.300,23.973,0.241,66.8,139.2,0.166,0.000,0.180,-100,118.2,46.2,0,0,0,100,120.2,4012,66.4,20.78,3130,0.86,728.4,1.346,-4.4,8.62,0.048,120,46,146.4,6.54,5.34,1.44
B,5.347,24.107,0.230,67.2,140.8,0.106,0.040,0.020,-100,117.6,47.6,0,0,0,132,115.8,2084,66.2,17.22,3342,0.84,362.2,1.298,-4.4,8.6,0.082,120,46,146.8,6.54,5.34,1.42
B,5.373,23.867,0.271,66.8,139,0.1,0.140,0.060,-100,120.6,45,0,0,0,94,120.4,4012,66,20.9,2840,0.88,728.2,1.398,-4.4,8.74,0.03,120,46,146.6,6.54,5.34,1.42
B,5.267,24.027,0.249,75.4,152.2,0.074,0.260,0.040,-100,117.6,46.6,0,0,0,88,119.4,4010,66,19.18,3110,0.9,730.6,1.448,-4.4,8.64,0.046,120,46,146.6,6.52,5.34,1.42
D,5.490,23.973,0.314,72.6,143.8,0.14,0.080,0.020,-100,119.8,46.8,0,0,0,90,121.4,4014,65.6,16.2,3008,0.88,731.6,1.398,-4.4,8.7,0.062,120,46,146,6.54,5.34,1.44
B,5.287,23.907,0.330,74,152.2,0.222,0.280,0.100,-100,119.8,46.8,0,0,0,90,121.4,4014,65.6,16.2,3008,0.88,731.6,1.398,-4.4,8.7,0.062,120,46,146,6.54,5.34,1.44
B,5.353,23.987,0.317,70.2,143.6,0.066,0.220,0.040,-100,119,46.4,0,0,0,94,121.2,4010,66,21.98,2882,0.94,734.8,1.548,-4.4,8.72,0.048,120,46,145.8,6.56,5.38,1.48
B,5.307,23.853,0.299,72.4,147.6,0.138,0.200,0.040,-100,118.6,45.4,0,0,0,98,119.2,4012,66.2,21.46,2812,0.9,741,1.448,-4.4,8.7,0.046,120,46,145.8,6.54,5.38,1.48
B,5.267,23.953,0.289,70.4,146.4,0.102,0.040,0.060,-100,122.2,45.6,0,0,0,96,120.6,4014,66.2,16.4,2716,0.86,727.8,1.348,-4.4,8.72,0.312,120,46,146.6,6.5,5.32,1.36
B,5.293,24.053,0.358,70.6,145.6,0.13,0.300,0.080,-100,108.8,45.6,0,0,0,94,118.6,4010,66,19.26,2896,0.86,720.8,1.348,-4.4,8.7,0.294,120,46,146.4,6.5,5.32,1.38
B,5.273,23.820,0.301,70.2,145.8,0.176,0.180,0.020,-100,112.8,45.8,0,0,0,94,119.8,4012,66.4,17.32,3036,0.84,733.2,1.298,-4.2,8.7,0.308,120,46,146.2,6.52,5.34,1.36
B,5.293,24.033,0.297,68,143,0.17,0.200,0.020,-100,119.2,45.2,0,0,0,102,119.6,4014,67.2,16.5,2912,0.86,733.6,1.346,-4,8.7,0.078,120,46,146.4,6.5,5.34,1.38
B,5.293,23.920,0.242,66.6,140.8,0.034,0.100,0.020,-100,124.2,40,0,0,0,128,120.4,1010,0,13.84,32,0.9,0,1.56,-4,8.74,0.154,120,46,147,6.52,5.32,1.4
B,5.300,23.967,0.343,68.8,143.4,0.046,0.080,0.040,-100,117.2,46.6,0,0,0,96,119.2,4012,65.8,19.72,3088,0.84,734.6,1.298,-4,8.66,0.064,120,46,146.6,6.52,5.34,1.4
B,5.353,24.113,0.240,67.2,139.8,0.126,0.420,0.060,-100,116.4,46.6,0,0,0,94,120.6,4010,65.6,22.04,3044,0.84,732.2,1.298,-4.2,8.74,0.064,120,46,146,6.52,5.32,1.4
B,5.333,23.987,0.250,65.8,139,0.124,0.160,0.040,-100,117.2,46.4,0,0,0,94,120.4,4010,65.4,17.24,2982,0.86,728.4,1.348,-4.2,8.72,0.06,120,46,146,6.54,5.34,1.42
B,5.360,23.900,0.285,66.6,138.8,0.046,0.160,0.040,-100,116,46.2,0,0,0,90,119.2,4010,65,23.4,3058,0.9,741.2,1.448,-4.2,8.7,0.03,120,46,146.2,6.54,5.36,1.44
B,5.313,23.880,0.319,68.8,143.8,0.182,0.040,0.040,-100,120.8,46.4,0,0,0,100,120.2,4010,65,16.8,2902,0.88,732.8,1.398,-4.2,8.74,0.128,120,46,146.6,6.54,5.34,1.42
B,5.340,24.120,0.279,69.2,144,0.058,0.260,0.100,-100,120.2,45.8,0,0,0,94,119.8,4014,65,22.24,3102,0.88,736.2,1.398,-4.2,8.76,0.122,120,46,146.2,6.54,5.34,1.42
A,5.367,23.960,0.309,69,142.8,0.194,0.200,0.120,-100,118.8,46.8,0,0,0,80,121.2,4008,65.6,20.98,3086,1.54,718.8,3.042,-4.6,8.6,0.03,120,46,146.6,7.16,5.42,3.04
A,5.340,23.960,0.285,71.8,147.4,0.052,0.200,0.120,-100,122.2,44.8,0,0,0,108,119.8,4010,66.2,18.3,2740,1.58,734,3.142,-4.4,8.66,0.062,120,46,146.4,7.14,5.44,3.12
D,5.460,24.000,0.237,72.4,144.2,0.048,0.360,0.000,-100,118.8,45.6,0,0,0,78,120,4012,64.2,16.96,3056,1.6,726.2,3.19,-4.2,8.76,0.102,120,46,145.8,7.78,5.52,3.14
D,5.467,23.947,0.339,70,141.2,0.206,0.180,0.060,-100,118.6,46.4,0,0,0,76,119.4,4010,64,23.5,2870,1.62,731.6,3.24,-4.2,8.6,0.302,120,46,146.4,7.76,5.52,3.16
B,5.407,23.667,0.243,65.8,137,0.154,0.120,0.040,-100,118.4,45.6,0,0,0,96,119.6,4010,65.6,19.5,3026,0.86,731.6,1.348,-4.2,8.52,0.064,120,46,146.6,6.52,5.36,1.4
B,5.393,24.087,0.241,65,136.6,0.064,0.100,0.020,-100,113.8,46.4,0,0,0,98,120.4,4014,66.4,16.62,3038,0.82,750.8,1.248,-4.4,8.52,0.062,120,46,145.4,6.5,5.36,1.38
B,5.367,24.127,0.217,67.6,140.4,0.042,0.020,0.060,-100,117,45.8,0,0,0,94,119.6,4012,67.4,19.12,3070,0.82,736,1.248,-4.2,8.58,0.062,120,46,145.2,6.5,5.36,1.38
B,5.347,24.047,0.377,72.4,145.2,0,0.000,0.120,-100,116,46,0,0,0,92,120,4010,66.2,18.3,2892,0.84,732.2,1.298,-4.2,8.5,0.06,120,46,146.8,6.5,5.36,1.38
B,5.367,24.020,0.245,65.4,137.6,0.138,0.120,0.020,-100,119.6,45.8,0,0,0,94,119.4,4014,66.6,18.66,3102,0.8,731.2,1.196,-4.2,8.56,0.03,120,46,145.8,6.5,5.36,1.38
B,5.347,24.060,0.207,72.6,147.4,0.086,0.140,0.020,-100,116.6,45.4,0,0,0,94,118.8,4010,66.6,16.66,2912,0.84,736.4,1.298,-4,8.54,0.046,120,46,146,6.5,5.34,1.38
B,5.353,23.940,0.284,64.2,136.2,0.158,0.180,0.020,-100,119.6,45.4,0,0,0,98,120,4010,66.8,23.16,2872,0.86,727.6,1.346,-3.8,8.54,0.082,120,46,146.2,6.52,5.38,1.34
B,5.360,24.080,0.201,69.6,141.6,0.108,0.000,0.100,-100,121.4,48,0,0,0,106,114.8,2212,67.8,21.06,3324,0.6,494,0.696,-3.8,8.58,0.134,120,46,146.2,6.5,5.36,1.38
B,5.333,23.973,0.287,69,143.4,0.108,0.140,0.080,-100,121.8,46.8,0,0,0,92,119.6,4018,66.8,17.7,3046,0.82,744.8,1.248,-3.8,8.54,0.08,120,46,147,6.5,5.36,1.38
B,5.353,23.907,0.318,63.8,135.6,0.112,0.040,0.020,-100,119.6,45.4,0,0,0,96,120,4012,65.6,19.62,2852,0.84,737.4,1.298,-3.8,8.48,0.064,120,46,145.6,6.52,5.38,1.36
B,5.320,24.020,0.298,66.8,141.2,0.17,0.320,0.040,-100,120.2,45.6,0,0,0,90,119.6,4012,65.8,19.06,2826,0.82,749,1.248,-3.8,8.54,0.096,120,46,145.8,6.52,5.36,1.36
B,5.367,24.107,0.269,69.2,141.6,0.228,0.600,0.100,-100,121,45.2,0,0,0,98,119.8,4008,66.4,23.02,2972,0.84,730.6,1.298,-3.8,8.48,0.044,120,46,146.6,6.5,5.34,1.36
B,5.373,24.040,0.288,67,139.4,0.154,0.240,0.060,-100,124.2,46.4,0,0,0,94,121.2,4006,66,21.26,2842,0.86,730.6,1.348,-3.8,8.42,0.048,120,46,146.6,6.5,5.36,1.36
B,5.447,23.953,0.298,65.4,136.6,0.074,0.300,0.060,-100,118.2,46,0,0,0,90,120,4008,65.8,18.36,3108,0.82,740.6,1.248,-4,8.54,0.046,120,46,146.8,6.5,5.38,1.36
B,5.367,23.933,0.293,66,137.8,0.052,0.360,0.060,-100,117.8,45.4,0,0,0,90,120,4008,66.2,19.2,2812,0.86,735,1.348,-4,8.52,0.084,120,46,146.4,6.54,5.38,1.38
B,5.367,24.013,0.255,68.2,140.6,0.136,0.060,0.060,-100,118.8,45.4,0,0,0,92,119.8,4006,65.6,17.24,3012,0.86,737.2,1.348,-4,8.56,0.064,120,46,147,6.52,5.36,1.36
B,5.320,23.900,0.283,71.6,145.8,0.084,0.320,0.060,-100,116.8,46.4,0,0,0,94,120.2,4016,65.4,19.76,2948,0.84,729.6,1.298,-4.2,8.56,0.024,120,46,146.8,6.52,5.36,1.36
B,5.433,24.160,0.253,68.8,137.8,0,0.000,0.200,-100,118.2,45.2,0,0,0,102,120.6,4012,65.6,20.44,2762,0.84,728.4,1.298,-4.2,8.58,0.054,120,46,146.2,6.5,5.36,1.38
B,0.000,24.120,0.159,0,0,0.096,0.000,0.000,-100,114,45.8,0,0,0,88,118.4,4010,66,23.24,3016,0.86,737,1.348,-4.2,8.52,0.03,120,46,146.6,6.5,5.38,1.42
B,5.333,23.980,0.320,68.4,142.4,0.172,0.060,0.020,-100,117.4,46.2,0,0,0,92,119.6,4012,65.8,16.78,3096,0.84,741.2,1.298,-4.2,8.48,0.1,120,46,146.4,6.54,5.34,1.36
B,5.313,24.013,0.285,70.2,144.4,0.134,0.160,0.060,-100,115.6,46.2,0,0,0,94,119.4,4010,65.8,23.9,3064,0.88,739.6,1.398,-4.2,8.58,0.1,120,46,146.4,6.52,5.36,1.38
B,5.333,23.907,0.295,67,139.8,0.132,0.140,0.060,-100,116.2,46.4,0,0,0,90,119.2,4012,66,17.68,2854,0.84,768.8,1.298,-4.2,8.58,0.102,120,46,146.2,6.52,5.36,1.38
B,5.307,24.027,0.283,70.4,144.6,0.136,0.260,0.080,-100,116,46.4,0,0,0,94,118.6,4010,65.2,24.22,3080,0.86,727.6,1.348,-4,8.56,0.1,120,46,145.8,6.58,5.34,1.4
B,5.300,23.980,0.219,71.8,147.4,0.056,0.160,0.040,-100,118.4,46.4,0,0,0,94,121,4012,65.6,18.4,2954,0.82,729,1.248,-4,8.64,0.106,120,46,145.8,6.56,5.34,1.4
B,5.260,23.933,0.465,62.4,135,0,0.260,0.080,-100,117.2,45.6,0,0,0,94,119.4,4008,65.4,21.62,2890,0.84,729,1.298,-3.8,8.58,0.118,120,46,145.6,6.52,5.32,1.42
B,5.313,23.940,0.322,70.4,145.2,0.136,0.140,0.020,-100,120.8,45,0,0,0,94,120.8,4010,65.6,22.34,2882,0.82,732,1.248,-3.6,8.58,0.168,120,46,145.6,6.52,5.32,1.42
B,5.287,23.940,0.355,71.8,147.6,0.134,0.140,0.020,-100,120.8,46,0,0,0,92,120.4,4012,65.6,23.8,3176,0.84,735.8,1.298,-3.6,8.6,0.154,120,46,146,6.52,5.34,1.4
B,5.313,24.073,0.225,66.2,140.2,0.09,0.440,0.020,-100,123.2,45,0,0,0,92,120.2,4012,65.4,18.84,2920,0.82,730.6,1.248,-3.6,8.6,0.224,120,46,145.6,6.54,5.34,1.4
B,5.347,23.987,0.242,58.6,129,0.102,0.140,0.020,-100,122.6,45,0,0,0,88,119.6,4008,65.6,19.9,2914,0.86,727.8,1.348,-3.6,8.52,0.19,120,46,146.2,6.52,5.34,1.4
B,5.333,23.980,0.279,62.8,134.2,0.018,0.040,0.080,-100,120.2,46.8,0,0,0,94,120.4,4008,65.2,24.1,2998,0.86,729.2,1.348,-3.6,8.58,0.07,120,46,146,6.52,5.34,1.5
